name,reference,food_interactions
Osimertinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.']"
Tipiracil,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food.']
Chymotrypsin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food.']
Esterified estrogens,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""]"
Norgestrel,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.']"
Technetium Tc-99m sulfur colloid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with food. For pediatric patients, orally administered Technetium Tc-99m sulfur colloid should be given with milk, or if administered by nasogastric tube, it should be given with milk or dextrose.']"
Magnesium chloride,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.']
Monopotassium phosphate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']"
Iodide I-123,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.']"
Protirelin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.']"
Indium In-111 chloride,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Drink plenty of fluids. Fluids will help remove excess radiation from the body when Indium In-111 chloride is used to radiolabel pentetreotide.']
Fludeoxyglucose (18F),"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.']"
Urea C-13,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take separate from meals. The urea breath test using Urea C-13 should be done at least 1 hour before and after food and drink.']
Simethicone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.']
Urea C-14,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take on an empty stomach. Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.']
Omega-3-acid ethyl esters,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.']"
Dexchlorpheniramine maleate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Alcohol may have additive CNS depressant effects with dexchlorpheniramine maleate.']
Choline C-11,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.']"
Insulin degludec,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Alcohol may impair blood glucose control.']
Omega-3-carboxylic acids,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Taking omega-3-carboxylic acids with a high-fat meal may increase the absorption of eicosapentaenoic acid (EPA).']
Ixazomib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.']"
Pancrelipase amylase,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food.']
Pancrelipase protease,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food.']
Hydrogen fluoride,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take separate from meals. Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel.']
Calcium citrate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Vitamin D,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.']
Desirudin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Plantago seed,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with a full glass of water.']
Potassium bicarbonate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid potassium-containing products. Excess potassium intake may cause hyperkalemia. Avoid salt substitutes like potassium chloride (KCl).', 'Take with a full glass of water. Dissolve the 10 mEq tablet in at least 2-3 oz of fluid, and the 20 mEq tablet in at least 3-4 oz of liquid (juice or water).', 'Take with food.']"
Magnesium citrate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.']
Racepinephrine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid caffeine.']
Calcium gluconate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with a full glass of water.', 'Take with food.']"
Opium,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Concomitant use of opium with alcohol may cause additive CNS depressive effects.']
Chromium,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Administer vitamin supplements. Niacin (from food or supplements) may increase the absorption of chromium.', 'Take with foods containing vitamin C. Vitamin C may increase the absorption of chromium.']"
Zinc citrate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc citrate at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']"
Antithrombin Alfa,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Zeaxanthin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Tetrofosmin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food. Some studies have found that this improves imaging.']
Pentoxyverine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Concomitant use of pentoxyverine with alcohol may cause additive CNS depressant effects.']
Magnesium glycinate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.']
Alcloxa,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take after a meal. Alcloxa is an ingredient used in toothpaste and brushing teeth after each meal is recommended.']
Methylcellulose,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with a full glass of water.']
Zinc gluconate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']"
Chromium picolinate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Administer vitamin supplements. Foods or supplements containing niacin (Vitamin B3) may improve the absorption of chromium.', 'Take with foods containing vitamin C. Foods rich in vitamin C increase the absorption of chromium.']"
Levomefolic acid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.']
Protein C,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Alectinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of alectinib.', ""Exercise caution with St. John's Wort. This herb induces CYP3A metabolism, which may reduce serum levels of alectinib."", 'Take with food.']"
Sennosides,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid natural licorice. Licorice root can induce hypokalemia in patients taking sennosides.']
Moxidectin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.']"
Lesinurad,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Drink plenty of fluids.', 'Take with a full glass of water.', 'Take with food.']"
Elbasvir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of elbasvir. Co-administration of Elbasvir with St. John's Wort is contraindicated."", 'Exercise caution with grapefruit products. Grapefruit inhibits CYP3A, which may increase the serum levels of elbasvir, a CYP3A substrate.', 'Take at the same time every day.', 'Take with or without food.']"
Grazoprevir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Venetoclax,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of venetoclax.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of venetoclax."", 'Take at the same time every day.', 'Take with a full glass of water.', 'Take with food.']"
Asunaprevir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of asunaprevir. Co-administration of asunaprevir with St. John's Wort is contraindicated."", 'Exercise caution with grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of asunaprevir.', 'Take with or without food.']"
Etafedrine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with a full glass of water.', 'Take with or without food.']"
Bilastine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Avoid other fruit juice as well for optimal absorption.', 'Take on an empty stomach. Take at least two hours before or one hour after eating.']"
Antithrombin III human,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Normethadone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Ingesting alcohol may cause additive CNS depressive effects.']
Oxilofrine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Ingesting alcohol may cause additive CNS depressive effects.']
Velpatasvir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort."", 'Take with or without food. Multiple different combination products contain velpatasvir. Take Epclusa with or without food. Take Vosevi with food.']"
Rupatadine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of rupatadine.', 'Take with or without food.']"
Opicapone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take separate from meals. Take opicapone at least one hour before or after eating, as a moderate calorie meal decreases Cmax and overall plasma exposure to the drug, and delays Tmax.']"
Isavuconazole,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort."", 'Exercise caution with grapefruit products.']"
Delamanid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of delamanid."", 'Take with food. Taking delamanid with food increases its bioavailability.']"
Amifampridine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Vinflunine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of vinflunine.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of vinflunine.""]"
Pitolisant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of pitolisant. Dose adjustment may be necessary for co-administration."", 'Take with or without food. A high-fat meal had no clinically significant effects on drug pharmacokinetics.']"
Tafamidis,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Tucatinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. There is no meaningful clinical effect of food on this drug.']
Rebamipide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Food does not impact the bioavailability of rebamipide.']
Triheptanoin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with food. Take triheptanoin with food, liquid, or formula.']"
Fruquintinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Take fruquintinib about the same time each day with or without food and swallow the capsule whole.']
Daprodustat,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. Food does not affect drug absorption or exposure. Daprodustat can be taken without regard to concomitant administration of iron or phosphate binders, and it can be administered without regard to the timing or type of dialysis.']"
Selumetinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take on an empty stomach. Avoid consuming food 2 hours before and 1 hour after each dose.']
Naldemedine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of naldemedine."", 'Take with or without food.']"
Voclosporin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Avoid food or drink containing grapefruit when taking voclosporin, as it may decrease metabolism and increase exposure to this drug.', 'Take on an empty stomach. Take on an empty stomach, either 1 hour before or 2 hours after a meal and as close to 12 hours between doses as possible.']"
Pacritinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit products can inhibit CYP3A4, which is the enzyme primarily responsible for pacritinib metabolism.', ""Avoid St. John's Wort. Pacritinib is metabolized primarily by CYP3A4, an enzyme for which St. John's wort is a potent inducer.""]"
Tropisetron,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol.']
Acalabrutinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of acalabrutinib. Dose adjustment may be necessary if co-administered.', ""Exercise caution with St. John's Wort. The official product labeling recommends avoiding strong CYP3A4 inducers. This herb induces CYP3A metabolism and may reduce serum levels of acalabrutinib."", 'Take separate from antacids. Take at least 2 hours before or after antacids.', 'Take with a full glass of water.', 'Take with or without food.']"
Tezacaftor,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of tezacaftor.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of tezacaftor."", 'Take with food. Tezacaftor should be taken with fat-containing food to increase exposure.']"
